event_id,lat,lon,year,month,rainfall,rainfall_unit,rainfall_city,elevation,slope,terrain_distance_km,event_observed,sample_type
,28.302194,90.905908,2011,7,10.075,mm/day monthly mean,Gangtok,3707.0,3.96,16.235,0,background_no_record
,24.669332,94.276208,2010,7,9.76,mm/day monthly mean,Imphal,788.0,0.874,35.451,0,background_no_record
1112.0,27.1761,88.5287,2009,8,7.782,mm/day monthly mean,Gangtok,465.0,5.853,53.276,1,catalogued_landslide
,24.413536,90.6444,2010,8,8.742,mm/day monthly mean,Agartala,5.0,0.111,36.599,0,background_no_record
6143.0,23.7327,92.7463,2014,7,6.302,mm/day monthly mean,Aizawl,580.0,1.042,29.176,1,catalogued_landslide
7371.0,23.9939,94.0573,2015,8,8.21,mm/day monthly mean,Imphal,1295.0,1.654,16.507,1,catalogued_landslide
,21.894033,91.236141,2010,7,5.509,mm/day monthly mean,Agartala,0.0,0.073,27.055,0,background_no_record
5275.0,26.1498,94.6055,2013,8,8.951,mm/day monthly mean,Kohima,2265.0,3.183,44.004,1,catalogued_landslide
,22.718497,94.463204,2007,7,18.371,mm/day monthly mean,Aizawl,291.0,1.185,48.823,0,background_no_record
,28.03255,88.552781,2015,7,5.286,mm/day monthly mean,Gangtok,5199.0,4.022,46.906,0,background_no_record
,27.141323,95.30729,2010,4,10.28,mm/day monthly mean,Itanagar,123.0,3.299,37.453,0,background_no_record
8222.0,26.1961,91.7825,2016,6,11.87,mm/day monthly mean,Guwahati,51.0,1.609,26.12,1,catalogued_landslide
6963.0,23.7131,92.7362,2015,6,12.648,mm/day monthly mean,Aizawl,580.0,1.042,31.136,1,catalogued_landslide
2261.0,26.9435,88.4445,2010,8,8.703,mm/day monthly mean,Gangtok,1651.0,4.124,44.061,1,catalogued_landslide
,22.728903,93.508404,2011,6,11.976,mm/day monthly mean,Aizawl,291.0,1.185,51.924,0,background_no_record
247.0,25.0604,93.9877,2007,9,5.586,mm/day monthly mean,Imphal,1000.0,1.887,3.621,1,catalogued_landslide
