city,lat,lon,year,month,avg_rainfall
Agartala,23.83,91.28,2007,1,0.0
Agartala,23.83,91.28,2007,2,1.66
Agartala,23.83,91.28,2007,3,0.296
Agartala,23.83,91.28,2007,4,10.967
Agartala,23.83,91.28,2007,5,8.924
Agartala,23.83,91.28,2007,6,19.032
Agartala,23.83,91.28,2007,7,22.951
Agartala,23.83,91.28,2007,8,8.025
Agartala,23.83,91.28,2007,9,7.518
Agartala,23.83,91.28,2007,10,7.719
Agartala,23.83,91.28,2007,11,2.68
Agartala,23.83,91.28,2007,12,0.0
Agartala,23.83,91.28,2008,1,1.252
Agartala,23.83,91.28,2008,2,0.514
Agartala,23.83,91.28,2008,3,1.636
Agartala,23.83,91.28,2008,4,1.573
Agartala,23.83,91.28,2008,5,6.704
Agartala,23.83,91.28,2008,6,8.432
Agartala,23.83,91.28,2008,7,10.133
Agartala,23.83,91.28,2008,8,8.99
Agartala,23.83,91.28,2008,9,4.578
Agartala,23.83,91.28,2008,10,5.997
Agartala,23.83,91.28,2008,11,0.006
Agartala,23.83,91.28,2008,12,0.111
Agartala,23.83,91.28,2009,1,0.0
Agartala,23.83,91.28,2009,2,0.243
Agartala,23.83,91.28,2009,3,0.936
Agartala,23.83,91.28,2009,4,2.465
Agartala,23.83,91.28,2009,5,9.682
Agartala,23.83,91.28,2009,6,12.162
Agartala,23.83,91.28,2009,7,14.637
Agartala,23.83,91.28,2009,8,11.286
Agartala,23.83,91.28,2009,9,6.49
Agartala,23.83,91.28,2009,10,4.406
Agartala,23.83,91.28,2009,11,1.165
Agartala,23.83,91.28,2009,12,0.325
Agartala,23.83,91.28,2010,1,0.003
Agartala,23.83,91.28,2010,2,0.385
Agartala,23.83,91.28,2010,3,2.051
Agartala,23.83,91.28,2010,4,5.313
Agartala,23.83,91.28,2010,5,13.168
Agartala,23.83,91.28,2010,6,15.652
Agartala,23.83,91.28,2010,7,5.509
Agartala,23.83,91.28,2010,8,8.742
Agartala,23.83,91.28,2010,9,6.237
Agartala,23.83,91.28,2010,10,7.892
Agartala,23.83,91.28,2010,11,0.272
Agartala,23.83,91.28,2010,12,1.965
Agartala,23.83,91.28,2011,1,0.008
Agartala,23.83,91.28,2011,2,0.069
Agartala,23.83,91.28,2011,3,1.709
Agartala,23.83,91.28,2011,4,2.383
Agartala,23.83,91.28,2011,5,11.442
Agartala,23.83,91.28,2011,6,9.58
Agartala,23.83,91.28,2011,7,7.563
Agartala,23.83,91.28,2011,8,13.103
Agartala,23.83,91.28,2011,9,5.824
Agartala,23.83,91.28,2011,10,1.465
Agartala,23.83,91.28,2011,11,0.001
Agartala,23.83,91.28,2011,12,0.003
Agartala,23.83,91.28,2012,1,0.273
Agartala,23.83,91.28,2012,2,0.481
Agartala,23.83,91.28,2012,3,0.266
Agartala,23.83,91.28,2012,4,8.528
Agartala,23.83,91.28,2012,5,6.087
Agartala,23.83,91.28,2012,6,11.531
Agartala,23.83,91.28,2012,7,9.165
Agartala,23.83,91.28,2012,8,10.327
Agartala,23.83,91.28,2012,9,5.665
Agartala,23.83,91.28,2012,10,2.355
Agartala,23.83,91.28,2012,11,1.466
Agartala,23.83,91.28,2012,12,0.176
Agartala,23.83,91.28,2013,1,0.001
Agartala,23.83,91.28,2013,2,0.271
Agartala,23.83,91.28,2013,3,0.829
Agartala,23.83,91.28,2013,4,3.095
Agartala,23.83,91.28,2013,5,18.287
Agartala,23.83,91.28,2013,6,10.413
Agartala,23.83,91.28,2013,7,6.835
Agartala,23.83,91.28,2013,8,8.056
Agartala,23.83,91.28,2013,9,6.487
Agartala,23.83,91.28,2013,10,5.466
Agartala,23.83,91.28,2013,11,0.0
Agartala,23.83,91.28,2013,12,0.08
Agartala,23.83,91.28,2014,1,0.001
Agartala,23.83,91.28,2014,2,0.453
Agartala,23.83,91.28,2014,3,0.728
Agartala,23.83,91.28,2014,4,2.914
Agartala,23.83,91.28,2014,5,9.477
Agartala,23.83,91.28,2014,6,15.948
Agartala,23.83,91.28,2014,7,6.708
Agartala,23.83,91.28,2014,8,12.491
Agartala,23.83,91.28,2014,9,10.014
Agartala,23.83,91.28,2014,10,2.223
Agartala,23.83,91.28,2014,11,0.0
Agartala,23.83,91.28,2014,12,0.396
Agartala,23.83,91.28,2015,1,0.145
Agartala,23.83,91.28,2015,2,1.104
Agartala,23.83,91.28,2015,3,0.751
Agartala,23.83,91.28,2015,4,11.413
Agartala,23.83,91.28,2015,5,9.924
Agartala,23.83,91.28,2015,6,12.299
Agartala,23.83,91.28,2015,7,21.964
Agartala,23.83,91.28,2015,8,11.574
Agartala,23.83,91.28,2015,9,6.639
Agartala,23.83,91.28,2015,10,2.812
Agartala,23.83,91.28,2015,11,0.194
Agartala,23.83,91.28,2015,12,0.085
Agartala,23.83,91.28,2016,1,0.641
Agartala,23.83,91.28,2016,2,2.015
Agartala,23.83,91.28,2016,3,3.006
Agartala,23.83,91.28,2016,4,7.632
Agartala,23.83,91.28,2016,5,19.416
Agartala,23.83,91.28,2016,6,9.116
Agartala,23.83,91.28,2016,7,15.384
Agartala,23.83,91.28,2016,8,11.835
Agartala,23.83,91.28,2016,9,9.77
Agartala,23.83,91.28,2016,10,6.461
Agartala,23.83,91.28,2016,11,6.207
Agartala,23.83,91.28,2016,12,0.049
Aizawl,23.73,92.71,2007,1,0.001
Aizawl,23.73,92.71,2007,2,2.231
Aizawl,23.73,92.71,2007,3,0.4
Aizawl,23.73,92.71,2007,4,7.084
Aizawl,23.73,92.71,2007,5,7.255
Aizawl,23.73,92.71,2007,6,14.996
Aizawl,23.73,92.71,2007,7,18.371
Aizawl,23.73,92.71,2007,8,7.636
Aizawl,23.73,92.71,2007,9,9.344
Aizawl,23.73,92.71,2007,10,8.623
Aizawl,23.73,92.71,2007,11,2.153
Aizawl,23.73,92.71,2007,12,0.0
Aizawl,23.73,92.71,2008,1,0.992
Aizawl,23.73,92.71,2008,2,0.289
Aizawl,23.73,92.71,2008,3,1.002
Aizawl,23.73,92.71,2008,4,0.614
Aizawl,23.73,92.71,2008,5,5.227
Aizawl,23.73,92.71,2008,6,9.184
Aizawl,23.73,92.71,2008,7,11.759
Aizawl,23.73,92.71,2008,8,12.475
Aizawl,23.73,92.71,2008,9,4.362
Aizawl,23.73,92.71,2008,10,5.243
Aizawl,23.73,92.71,2008,11,0.139
Aizawl,23.73,92.71,2008,12,0.05
Aizawl,23.73,92.71,2009,1,0.01
Aizawl,23.73,92.71,2009,2,0.762
Aizawl,23.73,92.71,2009,3,1.161
Aizawl,23.73,92.71,2009,4,2.781
Aizawl,23.73,92.71,2009,5,11.121
Aizawl,23.73,92.71,2009,6,11.718
Aizawl,23.73,92.71,2009,7,18.552
Aizawl,23.73,92.71,2009,8,12.018
Aizawl,23.73,92.71,2009,9,5.948
Aizawl,23.73,92.71,2009,10,6.069
Aizawl,23.73,92.71,2009,11,1.082
Aizawl,23.73,92.71,2009,12,0.302
Aizawl,23.73,92.71,2010,1,0.026
Aizawl,23.73,92.71,2010,2,0.356
Aizawl,23.73,92.71,2010,3,2.183
Aizawl,23.73,92.71,2010,4,4.411
Aizawl,23.73,92.71,2010,5,12.386
Aizawl,23.73,92.71,2010,6,18.226
Aizawl,23.73,92.71,2010,7,8.08
Aizawl,23.73,92.71,2010,8,9.232
Aizawl,23.73,92.71,2010,9,6.911
Aizawl,23.73,92.71,2010,10,9.152
Aizawl,23.73,92.71,2010,11,0.406
Aizawl,23.73,92.71,2010,12,1.992
Aizawl,23.73,92.71,2011,1,0.112
Aizawl,23.73,92.71,2011,2,0.122
Aizawl,23.73,92.71,2011,3,2.28
Aizawl,23.73,92.71,2011,4,2.04
Aizawl,23.73,92.71,2011,5,11.496
Aizawl,23.73,92.71,2011,6,11.976
Aizawl,23.73,92.71,2011,7,8.04
Aizawl,23.73,92.71,2011,8,14.873
Aizawl,23.73,92.71,2011,9,7.816
