lat,lon,elevation_m,slope_pct
22.0,88.0,5.0,0.001
22.0,89.0,6.0,0.004
22.0,90.0,9.0,0.013
22.0,91.0,0.0,0.073
22.0,92.0,29.0,1.567
22.0,93.0,1104.0,1.567
22.0,94.0,388.0,1.043
22.0,95.0,142.0,0.359
22.0,96.0,96.0,0.81
22.0,97.0,615.0,0.756
22.618,88.0,6.0,0.025
22.618,89.0,4.0,0.028
22.618,90.0,5.0,0.007
22.618,91.0,3.0,0.243
22.618,92.0,50.0,1.536
22.618,93.0,1039.0,1.472
22.618,94.0,291.0,1.185
22.618,95.0,166.0,0.324
22.618,96.0,119.0,1.02
22.618,97.0,652.0,0.826
23.236,88.0,23.0,0.028
23.236,89.0,10.0,0.019
23.236,90.0,5.0,0.01
23.236,91.0,10.0,0.233
23.236,92.0,170.0,1.266
23.236,93.0,959.0,1.325
23.236,94.0,160.0,1.654
23.236,95.0,257.0,1.513
23.236,96.0,85.0,1.07
23.236,97.0,819.0,1.07
23.855,88.0,22.0,0.017
23.855,89.0,12.0,0.025
23.855,90.0,10.0,0.012
23.855,91.0,3.0,0.243
23.855,92.0,81.0,1.28
23.855,93.0,580.0,1.042
23.855,94.0,1295.0,1.654
23.855,95.0,532.0,1.112
23.855,96.0,140.0,0.99
23.855,97.0,166.0,0.952
24.473,88.0,29.0,0.025
24.473,89.0,14.0,0.022
24.473,90.0,18.0,0.022
24.473,91.0,5.0,0.111
24.473,92.0,23.0,1.476
24.473,93.0,249.0,1.524
24.473,94.0,788.0,0.874
24.473,95.0,204.0,1.59
24.473,96.0,227.0,0.444
24.473,97.0,415.0,0.401
25.091,88.0,23.0,0.022
25.091,89.0,23.0,0.022
25.091,90.0,18.0,1.182
25.091,91.0,7.0,1.28
25.091,92.0,15.0,1.488
25.091,93.0,1036.0,1.488
25.091,94.0,1000.0,1.887
25.091,95.0,188.0,3.071
25.091,96.0,243.0,2.99
25.091,97.0,191.0,2.199
25.709,88.0,36.0,0.035
25.709,89.0,38.0,0.032
25.709,90.0,31.0,1.163
25.709,91.0,829.0,1.198
25.709,92.0,885.0,1.28
25.709,93.0,133.0,2.358
25.709,94.0,1751.0,2.391
25.709,95.0,2295.0,3.184
25.709,96.0,354.0,2.829
25.709,97.0,1700.0,2.199
26.327,88.0,59.0,2.32
26.327,89.0,60.0,2.319
26.327,90.0,54.0,1.148
26.327,91.0,49.0,1.612
26.327,92.0,51.0,1.609
26.327,93.0,461.0,1.88
26.327,94.0,110.0,3.184
26.327,95.0,2265.0,3.183
26.327,96.0,289.0,3.104
26.327,97.0,269.0,3.133
26.945,88.0,1651.0,4.124
26.945,89.0,465.0,5.853
26.945,90.0,655.0,4.564
26.945,91.0,842.0,3.285
26.945,92.0,1155.0,2.829
26.945,93.0,190.0,4.235
26.945,94.0,81.0,3.361
26.945,95.0,123.0,3.299
26.945,96.0,1204.0,1.771
26.945,97.0,2419.0,3.282
27.564,88.0,4481.0,5.853
27.564,89.0,3787.0,4.841
27.564,90.0,2439.0,5.807
27.564,91.0,2760.0,5.34
27.564,92.0,3096.0,4.235
27.564,93.0,810.0,6.093
27.564,94.0,2387.0,3.361
27.564,95.0,105.0,3.605
27.564,96.0,167.0,3.515
27.564,97.0,1941.0,2.585
28.182,88.0,4396.0,1.17
28.182,89.0,5199.0,4.022
28.182,90.0,6424.0,5.807
28.182,91.0,3707.0,3.96
28.182,92.0,4991.0,6.093
28.182,93.0,3706.0,4.22
28.182,94.0,1441.0,4.276
28.182,95.0,660.0,5.203
28.182,96.0,2579.0,3.605
28.182,97.0,2410.0,3.269
28.8,88.0,5021.0,0.911
28.8,89.0,4680.0,2.542
28.8,90.0,4959.0,2.135
28.8,91.0,4557.0,2.721
28.8,92.0,5262.0,2.268
28.8,93.0,4375.0,4.276
28.8,94.0,4230.0,5.203
28.8,95.0,2204.0,2.953
28.8,96.0,2741.0,3.033
28.8,97.0,2947.0,0.783
