city,lat,lon,year,month,avg_rainfall
Agartala,23.83,91.28,2015,1,0.15
Agartala,23.83,91.28,2015,2,1.1
Agartala,23.83,91.28,2015,3,0.75
Agartala,23.83,91.28,2015,4,11.41
Agartala,23.83,91.28,2015,5,9.92
Agartala,23.83,91.28,2015,6,12.3
Agartala,23.83,91.28,2015,7,21.96
Agartala,23.83,91.28,2015,8,11.57
Agartala,23.83,91.28,2015,9,6.64
Agartala,23.83,91.28,2015,10,2.81
Agartala,23.83,91.28,2015,11,0.19
Agartala,23.83,91.28,2015,12,0.08
Agartala,23.83,91.28,2016,1,0.64
Agartala,23.83,91.28,2016,2,2.01
Agartala,23.83,91.28,2016,3,3.01
Agartala,23.83,91.28,2016,4,7.63
Agartala,23.83,91.28,2016,5,19.42
Agartala,23.83,91.28,2016,6,9.12
Agartala,23.83,91.28,2016,7,15.38
Agartala,23.83,91.28,2016,8,11.84
Agartala,23.83,91.28,2016,9,9.77
Agartala,23.83,91.28,2016,10,6.46
Agartala,23.83,91.28,2016,11,6.21
Agartala,23.83,91.28,2016,12,0.05
Agartala,23.83,91.28,2017,1,0.18
Agartala,23.83,91.28,2017,2,0.83
Agartala,23.83,91.28,2017,3,8.71
Agartala,23.83,91.28,2017,4,21.43
Agartala,23.83,91.28,2017,5,13.5
Agartala,23.83,91.28,2017,6,29.19
Agartala,23.83,91.28,2017,7,20.45
Agartala,23.83,91.28,2017,8,25.62
Agartala,23.83,91.28,2017,9,19.22
Agartala,23.83,91.28,2017,10,12.58
Agartala,23.83,91.28,2017,11,0.33
Agartala,23.83,91.28,2017,12,5.56
Agartala,23.83,91.28,2018,1,0.59
Agartala,23.83,91.28,2018,2,1.06
Agartala,23.83,91.28,2018,3,1.85
Agartala,23.83,91.28,2018,4,11.56
Agartala,23.83,91.28,2018,5,22.75
Agartala,23.83,91.28,2018,6,19.51
Agartala,23.83,91.28,2018,7,11.37
Agartala,23.83,91.28,2018,8,9.89
Agartala,23.83,91.28,2018,9,6.86
Agartala,23.83,91.28,2018,10,2.56
Agartala,23.83,91.28,2018,11,0.78
Agartala,23.83,91.28,2018,12,1.12
Agartala,23.83,91.28,2019,1,0.0
Agartala,23.83,91.28,2019,2,3.07
Agartala,23.83,91.28,2019,3,1.8
Agartala,23.83,91.28,2019,4,5.64
Agartala,23.83,91.28,2019,5,15.98
Agartala,23.83,91.28,2019,6,15.18
Agartala,23.83,91.28,2019,7,25.37
Agartala,23.83,91.28,2019,8,10.8
Agartala,23.83,91.28,2019,9,10.64
Agartala,23.83,91.28,2019,10,9.14
Agartala,23.83,91.28,2019,11,2.01
Agartala,23.83,91.28,2019,12,0.28
Agartala,23.83,91.28,2020,1,1.68
Agartala,23.83,91.28,2020,2,0.09
Agartala,23.83,91.28,2020,3,0.7
Agartala,23.83,91.28,2020,4,8.72
Agartala,23.83,91.28,2020,5,14.41
Agartala,23.83,91.28,2020,6,17.81
Agartala,23.83,91.28,2020,7,13.28
Agartala,23.83,91.28,2020,8,8.36
Agartala,23.83,91.28,2020,9,12.48
Agartala,23.83,91.28,2020,10,10.61
Agartala,23.83,91.28,2020,11,0.6
Agartala,23.83,91.28,2020,12,0.0
Agartala,23.83,91.28,2021,1,0.14
Agartala,23.83,91.28,2021,2,0.0
Agartala,23.83,91.28,2021,3,2.18
Agartala,23.83,91.28,2021,4,2.62
Agartala,23.83,91.28,2021,5,10.37
Agartala,23.83,91.28,2021,6,13.39
Agartala,23.83,91.28,2021,7,14.01
Agartala,23.83,91.28,2021,8,12.04
Agartala,23.83,91.28,2021,9,9.34
Agartala,23.83,91.28,2021,10,5.62
Agartala,23.83,91.28,2021,11,0.52
Agartala,23.83,91.28,2021,12,3.38
Agartala,23.83,91.28,2022,1,0.72
Agartala,23.83,91.28,2022,2,1.45
Agartala,23.83,91.28,2022,3,0.96
Agartala,23.83,91.28,2022,4,3.39
Agartala,23.83,91.28,2022,5,16.89
Agartala,23.83,91.28,2022,6,17.64
Agartala,23.83,91.28,2022,7,6.96
Agartala,23.83,91.28,2022,8,9.02
Agartala,23.83,91.28,2022,9,11.62
Agartala,23.83,91.28,2022,10,9.04
Agartala,23.83,91.28,2022,11,0.04
Agartala,23.83,91.28,2022,12,0.2
Agartala,23.83,91.28,2023,1,0.05
